Composto;CAS;LRI;Referencia
Isoamil valerianato;01-092050;0;
Tetradecanoato de etila;0124-06-01;2044;Flamini, Tebano, et al., 2006
1,1,-Dietoxypentano;1,1,-Dietoxypentano;0;
Estireno;100-42-5;1251;Alasalvar, Taylor, et al., 2005
Benzaldeído;100-52-7;1520;Alasalvar, Taylor, et al., 2005
cis-3-Decen-1-ol;10340-22-4;0;
Beta fenil etil acetato;103-45-7;1809;Lee, Lee, et al., 2006
Propanoato de etila;105-37-3;939;Varming, Andersen, et al., 2004
Butanoato de etila;105-54-4;1028;Botelho, Caldeira, et al., 2007
Heptanoato de etila;106-30-9;1336;Kourkoutas, Elmore, et al., 2006
Octanoato de etila;106-32-1;1433;Botelho, Caldeira, et al., 2007
Dodecanoato de etila;106-33-2;1848;Riu-Aumatell, Lopez-Tamames, et al., 2005
1,4-Dicloro-Benzeno;106-46-7;1438;Alasalvar, Taylor, et al., 2005
Tolueno;108-88-3;1036;Fernandez-Segovia, Escriche, et al., 2006
Decanoato de etila;110-38-3;1638;Flamini, Tebano, et al., 2006
Decanoato de metila;110-42-9;1593;Flamini, Tebano, et al., 2006
1-Hexanol;111-27-3;1348;Kourkoutas, Elmore, et al., 2006
1-Heptanol;111-70-6;1452;Elmore, Nisyrios, et al., 2005
1-Octanol;111-87-5;1552;Kourkoutas, Elmore, et al., 2006
Ácido nonanoico;112-05-0;2159;Carunchia Whetstine, Croissant, et al., 2005
Acetato de heptila;112-06-1;1377;Kourkoutas, Elmore, et al., 2006
2-Undecanona;112-12-9;1593;Alasalvar, Taylor, et al., 2005
1-Decanol;112-30-1;1763;Riu-Aumatell, Lopez-Tamames, et al., 2005
Octil formiato;112-32-3;1560;Chung, 1999
Hexadecanoato de etila;112-39-0;2245;Wei A. and Shibamoto T., 2007
1-Dodecanol;112-53-8;1962;Shimoda, Shigematsu, et al., 1995
N-tridecan-1-ol;112-70-9;2076;Sing, Smadja, et al., 1992
1-Tetradecanol;112-72-1;2173;Chung and Cadwallader, 1993
Metil salicilato;119-36-8;1763;Shimoda, Shigematsu, et al., 1995
Benzoato de isobutila;120-50-3;1785;Korhonen and Lind, 1985
Benzoato de benzila;120-51-4;2618;Blanc, Bradesi, et al., 2006
p-Anisaldeido;123-11-5;2016;Shimoda, Wu, et al., 1996
Dietil succinato;123-25-1;1675;Umano, Hagi, et al., 1992
Nonanoato de etila;123-29-5;1531;Pena, Barciela, et al., 2005
Álcool isoamílico;123-51-3;1203;Ferrari, Lablanquie, et al., 2004
Ativo amil alcool;123-51-3;1203;Ferrari, Lablanquie, et al., 2004
Butanoato isoamilico;123-51-3;1203;Ferrari, Lablanquie, et al., 2004
Hexanoato de etila;123-66-0;1233;Ferrari, Lablanquie, et al., 2004
Acetato de butila;123-86-4;1075;Kourkoutas, Elmore, et al., 2006
Acetato isoamílico;123-92-2;1121;Ferrari, Lablanquie, et al., 2004
Ácido octanoico;124-07-2;2051;Carunchia Whetstine, Croissant, et al., 2005
